fecha,centro_id,zona_geografica,tipo_negocio,trafico_peatonal,ventas_por_m2,tasa_ocupacion,tiempo_permanencia,tasa_conversion,ingresos_totales,tamaño_m2,empleados
2025-08-01,CC_002,Madrid,Moda,687,52.3,78.2,95.4,29.1,14644,280,18
2025-08-01,CC_002,Madrid,Restauración,821,118.7,81.5,102.8,31.5,13057,110,12
2025-08-01,CC_003,Cataluña,Moda,445,48.9,75.6,88.7,26.8,11736,240,15
2025-08-01,CC_003,Cataluña,Restauración,578,95.3,79.4,96.2,28.4,12389,130,16
2025-08-01,CC_004,Castilla-La Mancha,Moda,398,44.2,72.8,85.1,25.3,10776,244,14
2025-08-01,CC_004,Castilla-La Mancha,Ocio,342,28.7,68.9,91.3,22.7,8905,310,20
2025-08-01,CC_005,León,Restauración,287,67.8,70.4,78.9,24.1,8814,130,13
2025-08-01,CC_005,León,Ocio,194,15.2,65.7,82.6,21.4,4864,320,18
2025-08-01,CC_006,Norte,Moda,356,41.8,74.1,86.8,26.2,10062,241,16
2025-08-01,CC_006,Norte,Ocio,289,22.4,71.3,88.5,23.8,6944,310,22
2025-08-01,CC_007,Sur,Moda,512,55.7,79.8,89.4,28.7,13369,240,17
2025-08-01,CC_007,Sur,Restauración,634,108.2,83.6,97.1,30.9,14131,130,14
2025-08-02,CC_002,Madrid,Moda,598,45.7,76.8,92.1,27.4,12796,280,18
2025-08-02,CC_002,Madrid,Restauración,743,102.4,79.3,98.7,29.8,11264,110,12
2025-08-02,CC_003,Cataluña,Moda,521,56.2,78.2,91.5,28.9,13488,240,15
2025-08-02,CC_003,Cataluña,Restauración,659,89.7,81.7,94.8,27.6,11661,130,16
2025-08-02,CC_004,Castilla-La Mancha,Moda,423,39.8,74.5,87.3,26.1,9710,244,14
2025-08-02,CC_004,Castilla-La Mancha,Ocio,376,31.2,70.6,89.7,24.3,9672,310,20
2025-08-02,CC_005,León,Restauración,312,72.1,72.8,81.4,25.7,9373,130,13
2025-08-02,CC_005,León,Ocio,218,18.7,67.9,85.2,22.8,5984,320,18
2025-08-02,CC_006,Norte,Moda,389,38.9,76.4,88.1,25.5,9368,241,16
2025-08-02,CC_006,Norte,Ocio,267,25.8,73.7,85.9,24.6,7998,310,22
2025-08-02,CC_007,Sur,Moda,487,48.3,77.2,86.8,27.9,11599,240,17
2025-08-02,CC_007,Sur,Restauración,598,95.7,81.4,93.6,29.2,12441,130,14
