fecha,centro_comercial,tienda,categoria,afluencia,ingresos (€),tamaño_m2,antigüedad_años,empleados
2025-08-01,Gran Plaza Norte,Zara,Moda,523,16721,280,4,16
2025-08-02,Gran Plaza Norte,Zara,Moda,441,10195,280,4,16
2025-08-03,Gran Plaza Norte,Zara,Moda,491,19344,280,4,16
2025-08-04,Gran Plaza Norte,Zara,Moda,374,9068,280,4,16
2025-08-05,Gran Plaza Norte,Zara,Moda,289,8813,280,4,16
2025-08-06,Gran Plaza Norte,Zara,Moda,297,7669,280,4,16
2025-08-07,Gran Plaza Norte,Zara,Moda,363,9919,280,4,16
2025-08-08,Gran Plaza Norte,Zara,Moda,488,17423,280,4,16
2025-08-09,Gran Plaza Norte,Zara,Moda,491,10276,280,4,16
2025-08-10,Gran Plaza Norte,Zara,Moda,432,10113,280,4,16
2025-08-01,Gran Plaza Norte,Starbucks,Restauración,637,13720,110,2,10
2025-08-02,Gran Plaza Norte,Starbucks,Restauración,549,12750,110,2,10
2025-08-03,Gran Plaza Norte,Starbucks,Restauración,684,16232,110,2,10
2025-08-04,Gran Plaza Norte,Starbucks,Restauración,449,13823,110,2,10
2025-08-05,Gran Plaza Norte,Starbucks,Restauración,345,9847,110,2,10
2025-08-01,Centro Solverde,Mango,Moda,537,12486,240,3,14
2025-08-02,Centro Solverde,Mango,Moda,494,18006,240,3,14
2025-08-03,Centro Solverde,Mango,Moda,464,17317,240,3,14
2025-08-04,Centro Solverde,Mango,Moda,357,7328,240,3,14
2025-08-05,Centro Solverde,Mango,Moda,402,9249,240,3,14
2025-08-01,Centro Solverde,Burger King,Restauración,600,12621,130,4,18
2025-08-02,Centro Solverde,Burger King,Restauración,521,11820,130,4,18
2025-08-03,Centro Solverde,Burger King,Restauración,618,20783,130,4,18
2025-08-04,Centro Solverde,Burger King,Restauración,390,12445,130,4,18
2025-08-05,Centro Solverde,Burger King,Restauración,268,10342,130,4,18
2025-08-01,Parque Sur Este,H&M,Moda,482,15329,260,5,15
2025-08-02,Parque Sur Este,H&M,Moda,504,11003,260,5,15
2025-08-03,Parque Sur Este,H&M,Moda,446,13753,260,5,15
2025-08-04,Parque Sur Este,H&M,Moda,370,12818,260,5,15
2025-08-05,Parque Sur Este,H&M,Moda,355,13129,260,5,15
2025-08-01,Parque Sur Este,KFC,Restauración,621,18787,140,3,16
2025-08-02,Parque Sur Este,KFC,Restauración,590,13883,140,3,16
2025-08-03,Parque Sur Este,KFC,Restauración,600,16201,140,3,16
2025-08-04,Parque Sur Este,KFC,Restauración,339,13350,140,3,16
2025-08-05,Parque Sur Este,KFC,Restauración,489,11285,140,3,16
2025-08-01,Centro Norte,MediaMarkt,Electrónica,276,6407,620,6,26
2025-08-02,Centro Norte,MediaMarkt,Electrónica,284,9609,620,6,26
2025-08-03,Centro Norte,MediaMarkt,Electrónica,281,6953,620,6,26
2025-08-04,Centro Norte,MediaMarkt,Electrónica,208,7265,620,6,26
2025-08-05,Centro Norte,MediaMarkt,Electrónica,231,7245,620,6,26
2025-08-01,Centro Norte,Decathlon,Deportes,397,8618,800,7,30
2025-08-02,Centro Norte,Decathlon,Deportes,385,7904,800,7,30
2025-08-03,Centro Norte,Decathlon,Deportes,424,16049,800,7,30
2025-08-04,Centro Norte,Decathlon,Deportes,251,6735,800,7,30
2025-08-05,Centro Norte,Decathlon,Deportes,259,6568,800,7,30
